path,turn,province_rows,private_K_over_target_min,private_K_over_target_median,private_K_over_target_max,total_K_over_target_min,total_K_over_target_median,total_K_over_target_max,raw_ra0_min,raw_ra0_median,raw_ra0_max,raw_ra0_std,raw_ra0_below_0p02,raw_ra0_above_0p09,lower_clip_count,upper_clip_count,hjb_converged_count,source_final_predicate,max_nk_gap,max_yt_gap
A,1,31,0.01417783318060686,0.0460609698890771,0.09974948873095775,0.9999999999999999,1.0,1.0000000000000002,0.2502570646414367,0.4763263686225738,0.9645303327953562,0.16654744447723807,0,31,0,31,20,False,11.67973404214395,2.715689591397689
A,2,31,0.012678089017778033,0.04312467660529224,0.09584184205641667,0.9999999999999999,1.0,1.0,0.25982404568415823,0.5035128415185646,1.0944240578130564,0.1920811586027368,0,31,0,31,11,False,0.5570183367496566,0.015033957309321222
A,3,31,0.01715323132330634,0.043024278117916655,0.08212130319828974,0.9999999999999999,1.0,1.0,0.2607154834302427,0.5064030648122217,1.120170757958535,0.19710380299350386,0,31,0,31,8,False,0.18580559766843852,0.00474455691951281
A,4,31,0.014254899041565261,0.042835279596609745,0.09573283648129051,1.0,1.0,1.0000000000000002,0.26114005428392334,0.5073506055373469,1.126705099083405,0.19828505745817795,0,31,0,31,14,False,0.0881470368867,0.0013673798852420482
A,5,31,0.017132433577882328,0.04209159133729876,0.08219481274957563,0.9999999999999999,1.0,1.0,0.0886183031680404,0.20800197584909438,0.3824962816422242,0.08172458206031821,0,30,0,30,14,False,0.03072143233375213,0.7299935178261554
A,6,31,0.014155393768174604,0.04206293007554655,0.08180099128435352,0.9999999999999999,1.0,1.0,0.08987824433099337,0.2116500710972444,0.40953417276136456,0.0896697691751835,0,30,0,30,31,False,0.07498735570507087,0.017603241414288373
A,7,31,0.01414754802994029,0.042035689019043,0.08174793905822013,1.0,1.0,1.0,0.08782916734939869,0.21356691519978083,0.4052244499166057,0.08830161786158527,0,30,0,30,31,False,0.028178392301823285,0.01779597062453686
A,8,31,0.014147771187095072,0.04203723907490296,0.08175051919708726,1.0,1.0,1.0,0.08783850011927642,0.2136500429084443,0.406208269388938,0.08849920004488246,0,30,0,30,31,False,0.011287193184866151,0.012268989710761957
A,9,31,0.01414765371794161,0.04203713364560408,0.08174994397120412,0.9999999999999999,1.0,1.0000000000000002,0.0878368176404309,0.21365066510078468,0.40628446615129854,0.08853191562809391,0,30,0,30,31,False,0.0045465543431979505,0.0001401930219940839
A,10,31,0.014147600851551928,0.042037152617030234,0.08174997603720141,1.0,1.0,1.0000000000000002,0.0878369530893915,0.2136509768440422,0.40629130803450436,0.08853387679400965,0,30,0,30,31,False,0.0018093803212979598,1.734610159442873e-05
A,11,31,0.014147599316775063,0.042037151587409574,0.08174997382600022,1.0,1.0,1.0000000000000002,0.08783694462037024,0.21365097438381933,0.40629184520716005,0.08853401181739019,0,30,0,30,31,False,0.0007232468718125773,2.708285683050704e-06
A,12,31,0.014147599324998797,0.04203715164577463,0.0817499739729367,0.9999999999999998,1.0,1.0,0.0878369451677378,0.21365097540810127,0.40629189182199826,0.08853402107838321,0,30,0,30,31,False,0.00028915537886020637,3.730580553362728e-07
A,13,31,0.01414759932139328,0.042037151640681565,0.0817499739577365,1.0,1.0,1.0000000000000002,0.08783694510656999,0.21365097532451938,0.40629189546292027,0.08853402186051744,0,30,0,30,31,False,0.00011564418579568247,5.3360678431424446e-08
A,14,31,0.014147599321624576,0.04203715164074451,0.08174997395867659,1.0,1.0,1.0000000000000002,0.08783694511028513,0.21365097532885624,0.406291895778975,0.08853402190605299,0,30,0,30,31,False,4.6254335743345365e-05,7.463800688611855e-09
A,15,31,0.01414759932159619,0.04203715164074287,0.08174997395856268,1.0,1.0,1.0000000000000002,0.08783694510986459,0.21365097532806115,0.4062918958036053,0.08853402191167065,0,30,0,30,31,False,1.8501236478618566e-05,1.0497149816046658e-09
A,16,31,0.014147599321600384,0.042037151640739484,0.08174997395858613,1.0,1.0,1.0,0.08783694510988982,0.21365097532809257,0.4062918958057484,0.08853402191179692,0,30,0,30,31,False,7.400411392577411e-06,1.4693424255085574e-10
A,17,31,0.014147599321601333,0.04203715164074082,0.08174997395857203,0.9999999999999999,1.0,1.0000000000000002,0.08783694510988681,0.2136509753280851,0.4062918958059141,0.08853402191185118,0,30,0,30,31,False,2.9601515492139185e-06,2.0583201809643015e-11
