turn,province_index,province,residual_inf,pin_abs_share_l1,off_pin_max_abs,upper_b_leak_cells,escape,upper_b_face_mass,mass_identity_error,source_escape_error
3,0,北京,0.0015367660250293939,0.999999999994643,1.5401600079924943e-15,20,0.00029798787188912496,0.26521506177641296,1.0592655225183378e-16,2.312061132825338e-16
3,1,天津,0.000822800204741238,0.9999999999877799,2.759301305239187e-15,20,0.00015954574607165528,0.2511414678456883,9.034114602235466e-17,5.2936171071604754e-17
3,2,河北,0.0016320720830871602,0.9999999999946763,1.4578927800233676e-15,20,0.000316468270958852,0.2679205506951126,1.0489656018797255e-16,1.2289431625123193e-16
3,3,山西,0.00175135147102439,0.9999999999931055,1.826907765692387e-15,20,0.00033959723814890383,0.26845992402565416,5.664956351236761e-17,1.3010426069826053e-16
3,4,内蒙古,0.0011064531610832592,0.9999999999908405,1.2600529885990752e-15,20,0.0002145477043652542,0.25445231257630835,8.372751277019308e-17,7.928228386300251e-17
3,5,辽宁,0.001402142690227915,0.9999999999921431,2.110102220178548e-15,20,0.00027188362414409394,0.25569641138590526,9.324138683375338e-17,1.7688758444101005e-16
3,6,吉林,0.0012126308490263333,0.9999999999976598,2.9299886085062954e-16,20,0.0002351361757114714,0.2468829547897885,6.348003719902628e-17,5.9631119486702744e-18
3,7,黑龙江,0.0014367483278507273,0.9999999999984615,1.457167719820518e-16,20,0.00027859385858601944,0.24289928496842303,1.1779856604055006e-16,5.800481622797449e-18
3,8,上海,0.0017029928688626636,0.9999999999942548,2.68961759873447e-15,20,0.0003302202238792041,0.26707696843012313,2.905661822261152e-17,1.723881454251952e-17
3,9,江苏,0.0013224158242302734,0.999999999994134,1.5471310891483972e-15,20,0.00025642412104190816,0.2649257222680757,1.2034644114589099e-17,2.688821387764051e-17
3,10,浙江,0.0015194945581514763,0.9999999999940502,2.0324555569366937e-15,20,0.000294638833990684,0.266042081307009,4.575333167888829e-17,9.2970336290632e-17
3,11,安徽,0.0016484927208959606,0.9999999999902736,3.2751342057216887e-15,20,0.000319652328151545,0.2692043263478634,7.258733544790452e-17,2.6291902682773483e-17
3,12,福建,0.0013619967417668028,0.9999999999891777,3.8086040262319196e-15,20,0.00026409909120141,0.26063227037407144,5.46979996018937e-17,9.085614205428527e-17
3,13,江西,0.0016282398754039777,0.9999999999911778,2.4098087349384845e-15,20,0.00031572518359653266,0.2672134500299389,8.51098705401121e-17,1.9347587768003827e-16
