outer_iteration,province_index_0based,global_household_call_number,rah,rb,tau,w,Tt,rb_gap,Yt,Lt,Kt,Zt,GovInv,name,regime,year,step,index_0,index_1,provenance,ra,wjt,ra0,wt0,inter_prv_ratio,portfolio_weight_sum,raw_price_generation_turn,rah_ra_generation_turn,rah_implied,rah_transmission_pass,lagged_ra_identified,lagged_ra_identification,ra0_provenance,ra0_constraint,ra0_status,ra0_finite,ra_provenance,ra_constraint,ra_status,ra_finite,ra_lower_distance,ra_upper_distance,ra_strict_below,ra_strict_above,ra_exact_lower,ra_exact_upper,ra_near_lower,ra_near_upper,ra_outside_by_roundoff,ra_near_inside,rah_provenance,rah_constraint,rah_status,rah_finite,rah_lower_distance,rah_upper_distance,rah_strict_below,rah_strict_above,rah_exact_lower,rah_exact_upper,rah_near_lower,rah_near_upper,rah_outside_by_roundoff,rah_near_inside,wt0_provenance,wt0_constraint,wt0_status,wt0_finite,wjt_provenance,wjt_constraint,wjt_status,wjt_finite,wjt_lower_distance,wjt_upper_distance,wjt_strict_below,wjt_strict_above,wjt_exact_lower,wjt_exact_upper,wjt_near_lower,wjt_near_upper,wjt_outside_by_roundoff,wjt_near_inside,w_provenance,w_constraint,rah_above_owner_recollection_0p07,ramin,ramax,wjtmin,wjtmax,bounds_provenance,phase,ra_clipped_amount,wjt_clipped_amount
1.0,0.0,1.0,0.09,0.02,0.05,20.0,0.1,0.07,30319980.0,123780.0,49270438.3129602,0.0016341152925786636,49270438.3129602,北京,OWNER_A_CAPTURE_PID67056,2018,1,0,1,D:\ProjectTemp\ch5-mp4c-2018-final-production-path-faithful-durable-execution-20260903-001\household_call_ledger.csv,0.09,0.6,,,0.12116569491184198,0.8881303942987903,,initial,,,,MISSING,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,CAPTURED,DESCRIPTIVE_FIRM_RANGE_ONLY,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,-0.20000000000000007,0.7000000000000001,True,False,False,False,False,False,False,False,CAPTURED,COMPOSITE_NO_FIRM_CLIP,True,0.02,0.09,0.8,1.3,HASH_BOUND_EXECUTED_ADAPTER_LITERALS,initialization,,
1.0,1.0,2.0,0.09,0.02,0.05,20.0,0.1,0.07,13362920.0,89700.0,51336802.8150781,0.0006331796953290661,51336802.8150781,天津,OWNER_A_CAPTURE_PID67056,2018,1,1,2,D:\ProjectTemp\ch5-mp4c-2018-final-production-path-faithful-durable-execution-20260903-001\household_call_ledger.csv,0.09,0.6,,,0.19817398532280342,0.816521642002073,,initial,,,,MISSING,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,CAPTURED,DESCRIPTIVE_FIRM_RANGE_ONLY,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,-0.20000000000000007,0.7000000000000001,True,False,False,False,False,False,False,False,CAPTURED,COMPOSITE_NO_FIRM_CLIP,True,0.02,0.09,0.8,1.3,HASH_BOUND_EXECUTED_ADAPTER_LITERALS,initialization,,
1.0,2.0,3.0,0.09,0.02,0.05,20.0,0.1,0.07,32494600.0,419600.0,90356776.0949341,0.00020325561576148244,90356776.0949341,河北,OWNER_A_CAPTURE_PID67056,2018,1,2,3,D:\ProjectTemp\ch5-mp4c-2018-final-production-path-faithful-durable-execution-20260903-001\household_call_ledger.csv,0.09,0.6,,,0.04042780400496038,0.9627827047548705,,initial,,,,MISSING,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,CAPTURED,DESCRIPTIVE_FIRM_RANGE_ONLY,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,-0.20000000000000007,0.7000000000000001,True,False,False,False,False,False,False,False,CAPTURED,COMPOSITE_NO_FIRM_CLIP,True,0.02,0.09,0.8,1.3,HASH_BOUND_EXECUTED_ADAPTER_LITERALS,initialization,,
1.0,3.0,4.0,0.09,0.02,0.05,20.0,0.1,0.07,15958130.0,178900.0,37758335.6649879,0.0006904139506587265,37758335.6649879,山西,OWNER_A_CAPTURE_PID67056,2018,1,3,4,D:\ProjectTemp\ch5-mp4c-2018-final-production-path-faithful-durable-execution-20260903-001\household_call_ledger.csv,0.09,0.6,,,0.0385356371748285,0.9645270387407204,,initial,,,,MISSING,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,CAPTURED,DESCRIPTIVE_FIRM_RANGE_ONLY,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,-0.20000000000000007,0.7000000000000001,True,False,False,False,False,False,False,False,CAPTURED,COMPOSITE_NO_FIRM_CLIP,True,0.02,0.09,0.8,1.3,HASH_BOUND_EXECUTED_ADAPTER_LITERALS,initialization,,
1.0,4.0,5.0,0.09,0.02,0.05,20.0,0.1,0.07,16140760.0,130400.0,56986309.349860296,0.0006509396292199082,56986309.349860296,内蒙古,OWNER_A_CAPTURE_PID67056,2018,1,4,5,D:\ProjectTemp\ch5-mp4c-2018-final-production-path-faithful-durable-execution-20260903-001\household_call_ledger.csv,0.09,0.6,,,0.13838331231905796,0.8721543280015782,,initial,,,,MISSING,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,CAPTURED,DESCRIPTIVE_FIRM_RANGE_ONLY,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,-0.20000000000000007,0.7000000000000001,True,False,False,False,False,False,False,False,CAPTURED,COMPOSITE_NO_FIRM_CLIP,True,0.02,0.09,0.8,1.3,HASH_BOUND_EXECUTED_ADAPTER_LITERALS,initialization,,
1.0,5.0,6.0,0.09,0.02,0.05,20.0,0.1,0.07,23510500.0,226100.0,67054545.412681095,0.0002864698302222306,67054545.412681095,辽宁,OWNER_A_CAPTURE_PID67056,2018,1,5,6,D:\ProjectTemp\ch5-mp4c-2018-final-production-path-faithful-durable-execution-20260903-001\household_call_ledger.csv,0.09,0.6,,,0.07632297463521798,0.9296467702524277,,initial,,,,MISSING,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,CAPTURED,DESCRIPTIVE_FIRM_RANGE_ONLY,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,-0.20000000000000007,0.7000000000000001,True,False,False,False,False,False,False,False,CAPTURED,COMPOSITE_NO_FIRM_CLIP,True,0.02,0.09,0.8,1.3,HASH_BOUND_EXECUTED_ADAPTER_LITERALS,initialization,,
1.0,6.0,7.0,0.09,0.02,0.05,20.0,0.1,0.07,11253810.0,147424.0,52390313.5226049,0.00047331941528535383,52390313.5226049,吉林,OWNER_A_CAPTURE_PID67056,2018,1,6,7,D:\ProjectTemp\ch5-mp4c-2018-final-production-path-faithful-durable-execution-20260903-001\household_call_ledger.csv,0.09,0.6,,,0.1023070236880023,0.9056065007349425,,initial,,,,MISSING,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,CAPTURED,DESCRIPTIVE_FIRM_RANGE_ONLY,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,-0.20000000000000007,0.7000000000000001,True,False,False,False,False,False,False,False,CAPTURED,COMPOSITE_NO_FIRM_CLIP,True,0.02,0.09,0.8,1.3,HASH_BOUND_EXECUTED_ADAPTER_LITERALS,initialization,,
1.0,7.0,8.0,0.09,0.02,0.05,20.0,0.1,0.07,12846500.0,163500.0,44224774.7160286,0.0005703841154289705,44224774.7160286,黑龙江,OWNER_A_CAPTURE_PID67056,2018,1,7,8,D:\ProjectTemp\ch5-mp4c-2018-final-production-path-faithful-durable-execution-20260903-001\household_call_ledger.csv,0.09,0.6,,,0.06479729188901276,0.9402958444978166,,initial,,,,MISSING,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,CAPTURED,DESCRIPTIVE_FIRM_RANGE_ONLY,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,-0.20000000000000007,0.7000000000000001,True,False,False,False,False,False,False,False,CAPTURED,COMPOSITE_NO_FIRM_CLIP,True,0.02,0.09,0.8,1.3,HASH_BOUND_EXECUTED_ADAPTER_LITERALS,initialization,,
1.0,8.0,9.0,0.09,0.02,0.05,20.0,0.1,0.07,36011820.0,137600.0,54021103.923275396,0.0015030642394494576,54021103.923275396,上海,OWNER_A_CAPTURE_PID67056,2018,1,8,9,D:\ProjectTemp\ch5-mp4c-2018-final-production-path-faithful-durable-execution-20260903-001\household_call_ledger.csv,0.09,0.6,,,0.11875593934055706,0.8903648074023569,,initial,,,,MISSING,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,CAPTURED,DESCRIPTIVE_FIRM_RANGE_ONLY,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,-0.20000000000000007,0.7000000000000001,True,False,False,False,False,False,False,False,CAPTURED,COMPOSITE_NO_FIRM_CLIP,True,0.02,0.09,0.8,1.3,HASH_BOUND_EXECUTED_ADAPTER_LITERALS,initialization,,
1.0,9.0,10.0,0.09,0.02,0.05,20.0,0.1,0.07,92595400.0,488700.0,149374736.001046,0.0001820044285805966,149374736.001046,江苏,OWNER_A_CAPTURE_PID67056,2018,1,9,10,D:\ProjectTemp\ch5-mp4c-2018-final-production-path-faithful-durable-execution-20260903-001\household_call_ledger.csv,0.09,0.6,,,0.08033848825905156,0.92593458422952,,initial,,,,MISSING,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,CAPTURED,DESCRIPTIVE_FIRM_RANGE_ONLY,INITIALIZATION,True,0.06999999999999999,0.0,False,False,False,True,False,True,False,False,MISSING,FIRM_NATIVE,MISSING,False,SOURCE_INITIALIZATION,FIRM_NATIVE,INITIALIZATION,True,-0.20000000000000007,0.7000000000000001,True,False,False,False,False,False,False,False,CAPTURED,COMPOSITE_NO_FIRM_CLIP,True,0.02,0.09,0.8,1.3,HASH_BOUND_EXECUTED_ADAPTER_LITERALS,initialization,,
