stage,turn,Ktarget,private_K,GovInv_C1,firm_K_total,HJB_converged,HJB_statistic,KFE_classification
INITIALIZATION_OBSERVATION,0,70182433.35888097,218901.27196706057,69963532.08691391,70182433.35888097,False,,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,1,70182433.35888097,218901.27196706057,69963532.08691391,70182433.35888097,False,0.18862667495966345,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,2,70182433.35888097,219207.61008344483,69963225.74879752,70182433.35888097,False,0.006402964078555895,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,70182433.35888097,213613.730025202,69968819.62885576,70182433.35888097,True,1.9494670766562194e-08,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,70182433.35888097,217777.21739999423,69964656.14148097,70182433.35888097,False,0.6592361069535861,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,70182433.35888097,216821.9030741139,69965611.45580685,70182433.35888097,False,0.2865274258714896,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,6,70182433.35888097,214404.5639405185,69968028.79494044,70182433.35888097,True,1.2258412063204105e-09,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,7,70182433.35888097,213699.46123663787,69968733.89764433,70182433.35888097,True,9.813964796379082e-08,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,8,70182433.35888097,213709.3744552163,69968723.98442575,70182433.35888097,True,1.4128298531090877e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,9,70182433.35888097,213706.79848294196,69968726.56039803,70182433.35888097,True,1.4065859588185958e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,10,70182433.35888097,213706.8919087009,69968726.46697226,70182433.35888097,True,1.408415606363178e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,11,70182433.35888097,213706.87756720698,69968726.48131377,70182433.35888097,True,1.4083667565500946e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,12,70182433.35888097,213706.8785654996,69968726.48031546,70182433.35888097,True,1.4083845201184886e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,13,70182433.35888097,213706.8784712576,69968726.48040971,70182433.35888097,True,1.4083756383342916e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,14,70182433.35888097,213706.87847772875,69968726.48040324,70182433.35888097,True,1.408388961010587e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,15,70182433.35888097,213706.87847714245,69968726.48040383,70182433.35888097,True,1.40838007922639e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,16,70182433.35888097,213706.8784771604,69968726.48040381,70182433.35888097,True,1.4083667565500946e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,17,70182433.35888097,213706.87847717313,69968726.4804038,70182433.35888097,True,1.408362315657996e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,18,70182433.35888097,213706.87847717234,69968726.4804038,70182433.35888097,True,1.4083845201184886e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,19,70182433.35888097,213706.87847717467,69968726.4804038,70182433.35888097,True,1.40838007922639e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,20,70182433.35888097,213706.87847717374,69968726.4804038,70182433.35888097,True,1.4083756383342916e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,21,70182433.35888097,213706.87847716428,69968726.4804038,70182433.35888097,True,1.40838007922639e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,22,70182433.35888097,213706.87847716775,69968726.4804038,70182433.35888097,True,1.40838007922639e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,23,70182433.35888097,213706.87847717776,69968726.4804038,70182433.35888097,True,1.4083667565500946e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,24,70182433.35888097,213706.87847717333,69968726.4804038,70182433.35888097,True,1.4083756383342916e-10,DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,25,70182433.35888097,213706.87847717505,69968726.4804038,70182433.35888097,True,1.40838007922639e-10,DIAGNOSTIC_ONLY
