classification,path,turn,province_index,province,static_raw_S_transpose_ra0,static_clipped_same_turn_S,persisted_next_allocation_payoff_if_available,next_allocation_payoff_validation_status,raw_minus_clipped
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,1,0,北京,0.8978496320238214,0.0900000000000001,0.09000000000000001,VALIDATED_SAME_S_AND_NEXT_ALLOCATION_PAYOFF,0.8078496320238213
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,1,1,天津,0.4061068835460006,0.08999999999999994,0.09000000000000002,VALIDATED_SAME_S_AND_NEXT_ALLOCATION_PAYOFF,0.3161068835460007
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,1,2,河北,0.3369307965893905,0.08999999999999986,0.08999999999999997,VALIDATED_SAME_S_AND_NEXT_ALLOCATION_PAYOFF,0.24693079658939066
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,1,3,山西,0.42939791822233303,0.08999999999999998,0.08999999999999998,VALIDATED_SAME_S_AND_NEXT_ALLOCATION_PAYOFF,0.33939791822233306
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,1,4,内蒙古,0.3361610544454017,0.09000000000000014,0.09000000000000004,VALIDATED_SAME_S_AND_NEXT_ALLOCATION_PAYOFF,0.24616105444540154
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,1,5,辽宁,0.35897889609626965,0.08999999999999994,0.09000000000000001,VALIDATED_SAME_S_AND_NEXT_ALLOCATION_PAYOFF,0.2689788960962697
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,1,6,吉林,0.2846203371240753,0.08999999999999991,0.09,VALIDATED_SAME_S_AND_NEXT_ALLOCATION_PAYOFF,0.1946203371240754
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,1,7,黑龙江,0.3171025810332739,0.09000000000000005,0.09,VALIDATED_SAME_S_AND_NEXT_ALLOCATION_PAYOFF,0.22710258103327383
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,1,8,上海,0.8420989027536409,0.09000000000000008,0.09,VALIDATED_SAME_S_AND_NEXT_ALLOCATION_PAYOFF,0.7520989027536408
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,1,9,江苏,0.5289199495342403,0.09000000000000008,0.09,VALIDATED_SAME_S_AND_NEXT_ALLOCATION_PAYOFF,0.4389199495342402
