snapshot,row,i_b,i_a,i_z,face,budget_b,budget_a,captured_b,captured_a,operator_b,operator_a,negative_row,leak,outward_budget_violation,consumption,labor,transfer
matlab_M24,0,0,0,0,lower_b+lower_a,0.7546749938729818,0.0,0.7546749938729818,0.0,0.7546749938729821,0.0,0.0,0.0,0.0,8.294857173613904,0.714175777691523,-0.0
matlab_M24,19,19,0,0,upper_b+lower_a,0.003167337713492202,0.0,0.003167337713492202,0.0,-0.04298529754025138,0.0,0.0,0.008597059508050262,0.003167337713492202,9.0238698901241,0.6905125105264047,-0.0
matlab_M24,380,0,19,0,lower_b+upper_a,0.8718484263224247,-0.2941914458003152,0.8718484263224262,-0.2941914458003152,0.8718484263224252,-0.2941914458003181,0.0,0.0,0.0,8.823877554784197,0.6965234976447368,-1.1041914458003153
matlab_M24,399,19,19,0,upper_b+upper_a,1.795775884541271,-2.167535573466046,1.7957758845412712,-2.167535573466046,1.7583902974219061,-2.2371753926099593,1.0,0.006963981914391022,1.795775884541271,9.024302346563465,0.6904992742289798,-2.9775355734660462
matlab_M24,400,0,0,1,lower_b+lower_a,6.673892931773212,0.0,6.673892931773212,0.0,6.67389293177321,0.0,0.0,0.0,0.0,9.04084698388299,0.7603537757049754,-0.0
matlab_M24,419,19,0,1,upper_b+lower_a,0.003191811930404853,0.0,0.003191811930404853,0.0,-0.04331744762692313,0.0,0.0,0.0086634895253846,0.003191811930404853,13.608244356056666,0.6456222883320316,-0.0
matlab_M24,780,0,19,1,lower_b+upper_a,0.5652843642013258,0.13062250922369234,0.5652843642013252,0.13062250922369234,0.5652843642013257,0.130622509223695,1.0,0.0,0.13062250922369234,13.40839832197021,0.6493272220428717,-0.6793774907763077
matlab_M24,799,19,19,1,upper_b+upper_a,-9014.251318413086,-299.5607684039622,-9014.251318413086,-299.5607684039622,-9014.251318413066,-299.5607684039278,0.0,0.0,0.0,266.60505184966325,0.1964047580191637,-300.3707684039622
python_M24,0,0,0,0,lower_b+lower_a,0.7546749938729818,0.0,0.7546749938729818,0.0,0.7546749938729821,0.0,0.0,0.0,0.0,8.294857173613904,0.714175777691523,0.0
python_M24,19,19,0,0,upper_b+lower_a,0.003167337713492202,0.0,0.003167337713492202,0.0,-0.04298529754025138,0.0,0.0,0.008597059508050262,0.003167337713492202,9.0238698901241,0.6905125105264047,0.0
python_M24,380,0,19,0,lower_b+upper_a,0.8718484263224247,-0.2941914458003152,0.8718484263224244,-0.2941914458003152,0.8718484263224252,-0.2941914458003181,0.0,0.0,0.0,8.823877554784197,0.6965234976447368,-1.1041914458003153
python_M24,399,19,19,0,upper_b+upper_a,1.795775884541271,-2.167535573466046,1.7957758845412712,-2.167535573466046,1.7583902974219061,-2.2371753926099593,1.0,0.006963981914391022,1.795775884541271,9.024302346563465,0.6904992742289798,-2.9775355734660462
python_M24,400,0,0,1,lower_b+lower_a,6.673892931773215,0.0,6.673892931773215,0.0,6.673892931773217,0.0,0.0,0.0,0.0,9.04084698388299,0.7603537757049755,0.0
python_M24,419,19,0,1,upper_b+lower_a,0.003191811930404853,0.0,0.003191811930404853,0.0,-0.04331744762692313,0.0,0.0,0.0086634895253846,0.003191811930404853,13.608244356056666,0.6456222883320316,0.0
python_M24,780,0,19,1,lower_b+upper_a,0.5652843642013258,0.13062250922369234,0.5652843642013252,0.13062250922369234,0.5652843642013257,0.130622509223695,1.0,0.0,0.13062250922369234,13.40839832197021,0.6493272220428717,-0.6793774907763077
python_M24,799,19,19,1,upper_b+upper_a,-9014.251318413086,-299.5607684039622,-9014.251318413086,-299.5607684039622,-9014.251318413066,-299.5607684039278,0.0,0.0,0.0,266.60505184966325,0.1964047580191637,-300.3707684039622
matlab_P24,0,0,0,0,lower_b+lower_a,0.7546749938734756,0.0,0.7546749938734756,0.0,0.7546749938734759,0.0,0.0,0.0,0.0,8.29485717361356,0.7141757776915347,-0.0
matlab_P24,19,19,0,0,upper_b+lower_a,0.003167337713492202,0.0,0.003167337713492202,0.0,-0.04298529754025138,0.0,0.0,0.008597059508050262,0.003167337713492202,9.0238698901241,0.6905125105264047,-0.0
matlab_P24,380,0,19,0,lower_b+upper_a,0.8726796190179431,-0.2954155173540651,0.8726796190179424,-0.2954155173540651,0.8726796190179428,-0.29541551735406113,0.0,0.0,0.0,8.823877554784197,0.6965234976447368,-1.1054155173540652
