turn,province_index,province_name,hjb_converged,hjb_iterations,hjb_convergence_statistic,kfe_reached,kfe_status,kfe_source_free_normwise_ratio,kfe_upper_b_max_outward_leak_rate
1,0,北京,True,17,8.547302199346518e-09,True,DIAGNOSTIC_ONLY,0.12359893064079942,4.15295658116238
1,1,天津,True,27,3.770028733640629e-11,True,DIAGNOSTIC_ONLY,0.1460882751544755,3.985285838884266
1,2,河北,True,35,2.8269918406209626e-08,True,DIAGNOSTIC_ONLY,0.11373130212702849,4.238064752885079
1,3,山西,True,49,2.10115258525434e-10,True,DIAGNOSTIC_ONLY,0.0007910272049006893,4.240760009257558
1,4,内蒙古,True,26,4.778821782736031e-11,True,DIAGNOSTIC_ONLY,0.1361476686906145,4.076209581717408
1,5,辽宁,True,15,4.6158866284784494e-08,True,DIAGNOSTIC_ONLY,0.12646115787990045,4.152394002635344
1,6,吉林,True,15,3.5706573253690976e-09,True,DIAGNOSTIC_ONLY,0.13766358952089844,4.085437869708639
1,7,黑龙江,True,13,7.462075846120797e-09,True,DIAGNOSTIC_ONLY,0.13543040042248977,4.115373157050658
1,8,上海,True,18,3.760773470418144e-09,True,DIAGNOSTIC_ONLY,0.12507969639608918,4.145536272322533
1,9,江苏,True,17,4.77480961436072e-08,True,DIAGNOSTIC_ONLY,0.12097274430566919,4.173672235862094
1,10,浙江,True,15,8.606957369039492e-10,True,DIAGNOSTIC_ONLY,0.11827278550097817,4.199647579138917
1,11,安徽,False,100,0.18862667495966345,False,NOT_REACHED,,
