turn,province_index,province,Ktarget_2018_MU,firm_K_total_MU,Ktarget_minus_totalK_MU,capital_position,firm_ra0_raw,firm_ra_used_clipped,adaptation_gate_open,recorded_c0_action,replayed_c0_action,c0_replay_exact,c0_capital_gap_direction,c1_symbolic_positive_gain_direction,dynamic_effect_claimed
1,0,北京,58719043.066994764,58719043.066994764,0,AT_TARGET,0.9645303327953562,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,1,天津,64593598.72309723,64593598.72309723,0,AT_TARGET,0.3665893670146143,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,2,河北,113705229.18254791,113705229.18254791,0,AT_TARGET,0.3295641733702322,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,3,山西,53478727.38884524,53478727.38884524,0,AT_TARGET,0.4263907062621223,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,4,内蒙古,82165502.99427319,82165502.99427319,0,AT_TARGET,0.2961838594568849,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,5,辽宁,90061052.78222083,90061052.78222083,0,AT_TARGET,0.3451706684814465,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,6,吉林,66308917.7271201,66308917.7271201,0,AT_TARGET,0.2502570646414367,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,7,黑龙江,58424879.89838116,58424879.89838116,0,AT_TARGET,0.30504659658446637,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,8,上海,66125294.30800852,66125294.30800852,0,AT_TARGET,0.8992913814531691,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,9,江苏,203535217.25929242,203535217.25929242,0,AT_TARGET,0.5336284710994464,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,10,浙江,124249656.20818298,124249656.20818298,0,AT_TARGET,0.5917679954932621,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,11,安徽,70182433.35888097,70182433.35888097,0,AT_TARGET,0.6254548061853806,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,12,福建,87795538.11850408,87795538.11850408,0,AT_TARGET,0.6225835843436378,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,13,江西,51050047.92908307,51050047.92908307,0,AT_TARGET,0.6174912128219108,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,14,山东,210016973.07581103,210016973.07581103,0,AT_TARGET,0.33904137396314177,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,15,河南,168320556.01470312,168320556.01470312,0,AT_TARGET,0.3172638542908384,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,16,湖北,101805153.6623069,101805153.6623069,0,AT_TARGET,0.5266794349693987,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,17,湖南,93791807.14892803,93791807.14892803,0,AT_TARGET,0.4763263686225738,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,18,广东,191259406.86816654,191259406.86816654,0,AT_TARGET,0.5568838406923955,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,19,广西,67306708.83876626,67306708.83876626,0,AT_TARGET,0.37667610867663603,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,20,海南,14673330.466888333,14673330.466888333,0,AT_TARGET,0.6805274933209199,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,21,重庆,50663834.63130832,50663834.63130832,0,AT_TARGET,0.645992502052037,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,22,四川,94830047.41899477,94830047.41899477,0,AT_TARGET,0.5305365687691278,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,23,贵州,39447014.665611394,39447014.665611394,0,AT_TARGET,0.5571785759334482,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,24,云南,68611984.86091176,68611984.86091176,0,AT_TARGET,0.3995823991516949,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,25,西藏,6325734.326183821,6325734.326183821,0,AT_TARGET,0.6366596896985564,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,26,陕西,73897910.2910824,73897910.2910824,0,AT_TARGET,0.4512550517528234,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,27,甘肃,25177704.67938732,25177704.67938732,0,AT_TARGET,0.5077975242704716,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,28,青海,17578407.529567722,17578407.529567722,0,AT_TARGET,0.3448016066707992,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
1,29,宁夏,18640640.44456374,18640640.44456374,0,AT_TARGET,0.40101746865726484,0.09,False,NONE,NONE,True,CAPITAL_GAP_CLOSING_OR_NEUTRAL_DIRECTION,HOLD_AT_TARGET,False
