turn,province,iteration,d1_active,raw_candidate_count,hit_count,winner_changed_count,fallback_to_zero_count,switch_to_other_nonzero_count
1,北京,1,False,0,0,0,0,0
1,北京,2,False,0,0,0,0,0
1,北京,3,False,0,0,0,0,0
1,北京,4,False,0,0,0,0,0
1,北京,5,False,0,0,0,0,0
1,北京,6,False,0,0,0,0,0
1,北京,7,False,0,0,0,0,0
1,北京,8,False,0,0,0,0,0
1,北京,9,False,0,0,0,0,0
1,北京,10,False,0,0,0,0,0
1,北京,11,False,0,0,0,0,0
1,北京,12,False,0,0,0,0,0
1,北京,13,False,0,0,0,0,0
1,北京,14,False,0,0,0,0,0
1,北京,15,False,0,0,0,0,0
1,北京,16,False,0,0,0,0,0
1,北京,17,False,0,0,0,0,0
1,天津,1,False,0,0,0,0,0
1,天津,2,False,0,0,0,0,0
1,天津,3,False,0,0,0,0,0
1,天津,4,False,0,0,0,0,0
1,天津,5,False,0,0,0,0,0
1,天津,6,False,0,0,0,0,0
1,天津,7,False,0,0,0,0,0
1,天津,8,False,0,0,0,0,0
1,天津,9,False,0,0,0,0,0
1,天津,10,False,0,0,0,0,0
1,天津,11,False,0,0,0,0,0
1,天津,12,False,0,0,0,0,0
1,天津,13,False,0,0,0,0,0
1,天津,14,False,0,0,0,0,0
1,天津,15,False,0,0,0,0,0
1,天津,16,False,0,0,0,0,0
1,天津,17,False,0,0,0,0,0
1,天津,18,False,0,0,0,0,0
1,天津,19,False,0,0,0,0,0
1,天津,20,False,0,0,0,0,0
1,天津,21,False,0,0,0,0,0
1,天津,22,False,0,0,0,0,0
1,天津,23,False,0,0,0,0,0
1,天津,24,False,0,0,0,0,0
1,天津,25,False,0,0,0,0,0
1,天津,26,False,0,0,0,0,0
1,天津,27,False,0,0,0,0,0
1,河北,1,False,0,0,0,0,0
1,河北,2,False,0,0,0,0,0
1,河北,3,False,0,0,0,0,0
1,河北,4,False,0,0,0,0,0
1,河北,5,False,0,0,0,0,0
1,河北,6,False,0,0,0,0,0
1,河北,7,False,0,0,0,0,0
1,河北,8,False,0,0,0,0,0
1,河北,9,False,0,0,0,0,0
1,河北,10,False,0,0,0,0,0
1,河北,11,False,0,0,0,0,0
1,河北,12,False,0,0,0,0,0
1,河北,13,False,0,0,0,0,0
1,河北,14,False,0,0,0,0,0
1,河北,15,False,0,0,0,0,0
1,河北,16,False,0,0,0,0,0
1,河北,17,False,0,0,0,0,0
1,河北,18,False,0,0,0,0,0
1,河北,19,False,0,0,0,0,0
1,河北,20,False,0,0,0,0,0
1,河北,21,False,0,0,0,0,0
1,河北,22,False,0,0,0,0,0
1,河北,23,False,0,0,0,0,0
1,河北,24,False,0,0,0,0,0
1,河北,25,False,0,0,0,0,0
1,河北,26,False,0,0,0,0,0
1,河北,27,False,0,0,0,0,0
1,河北,28,False,0,0,0,0,0
1,河北,29,False,0,0,0,0,0
1,河北,30,False,0,0,0,0,0
1,河北,31,False,0,0,0,0,0
1,河北,32,False,0,0,0,0,0
1,河北,33,False,0,0,0,0,0
1,河北,34,False,0,0,0,0,0
1,河北,35,False,0,0,0,0,0
1,山西,1,False,0,0,0,0,0
1,山西,2,False,0,0,0,0,0
1,山西,3,False,0,0,0,0,0
1,山西,4,False,0,0,0,0,0
1,山西,5,False,0,0,0,0,0
1,山西,6,False,0,0,0,0,0
1,山西,7,False,0,0,0,0,0
1,山西,8,False,0,0,0,0,0
1,山西,9,False,0,0,0,0,0
1,山西,10,False,0,0,0,0,0
1,山西,11,False,0,0,0,0,0
1,山西,12,False,0,0,0,0,0
1,山西,13,False,0,0,0,0,0
1,山西,14,False,0,0,0,0,0
1,山西,15,False,0,0,0,0,0
1,山西,16,False,0,0,0,0,0
1,山西,17,False,0,0,0,0,0
1,山西,18,False,0,0,0,0,0
1,山西,19,False,0,0,0,0,0
1,山西,20,False,0,0,0,0,0
1,山西,21,False,0,0,0,0,0
1,山西,22,False,0,0,0,0,0
1,山西,23,False,0,0,0,0,0
1,山西,24,False,0,0,0,0,0
1,山西,25,False,0,0,0,0,0
1,山西,26,False,0,0,0,0,0
1,山西,27,False,0,0,0,0,0
1,山西,28,False,0,0,0,0,0
1,山西,29,False,0,0,0,0,0
1,山西,30,False,0,0,0,0,0
1,山西,31,False,0,0,0,0,0
1,山西,32,False,0,0,0,0,0
1,山西,33,False,0,0,0,0,0
1,山西,34,False,0,0,0,0,0
1,山西,35,False,0,0,0,0,0
1,山西,36,False,0,0,0,0,0
1,山西,37,False,0,0,0,0,0
1,山西,38,False,0,0,0,0,0
1,山西,39,False,0,0,0,0,0
1,山西,40,False,0,0,0,0,0
1,山西,41,False,0,0,0,0,0
1,山西,42,False,0,0,0,0,0
1,山西,43,False,0,0,0,0,0
1,山西,44,False,0,0,0,0,0
1,山西,45,False,0,0,0,0,0
1,山西,46,False,0,0,0,0,0
1,山西,47,False,0,0,0,0,0
1,山西,48,False,0,0,0,0,0
1,山西,49,False,0,0,0,0,0
1,内蒙古,1,False,0,0,0,0,0
