province_index,province,GDP,POP,CAP,alpha,same_year_Zt,GovInv,entering_firm_ra,household_rah,household_rb,household_composite_wage,entering_Lt_prev,household_Lt_return,destination_lt_supply,firm_ra0,firm_ra_used,firm_rk,firm_wage_raw,firm_wage_used,hjb_converged,hjb_iterations,hjb_statistic,kfe_returned,C,L,A,B,A_plus_B,nk_gap,yt_gap,ra_clipped_lower,ra_clipped_upper,wage_clipped_lower,wage_clipped_upper,zt_adjusted,zt_after,govinv_action,govinv_after
0,北京,30319980.0,219200.0,537317983065.375,0.772866243094144,0.0015949382639870576,537317983065.375,0.09,0.09,0.02,20.0,219200.0,0.647623598114104,4438031.940787546,-0.024915403395398186,0.02,8.337528617566764e-05,2.966578718527173,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,40356.098885869586,0.9802332168936243,True,False,False,True,False,0.0015949382639870576,NONE,537317983065.375
1,天津,13362920.0,138300.0,679051452789.948,0.772866243094144,0.0006512817940029328,679051452789.948,0.09,0.09,0.02,20.0,138300.0,0.647623598114104,4483826.504912463,-0.024967167975220465,0.02,3.235802929187647e-05,1.4401690728067909,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,50480.56569762514,1.203737548786156,True,False,False,True,False,0.0006512817940029328,NONE,679051452789.948
2,河北,32494600.0,755600.0,1692566739665.9175,0.772866243094144,0.000531645825183819,1692566739665.9175,0.09,0.09,0.02,20.0,755600.0,0.647623598114104,4605981.220656944,-0.024978086510754612,0.02,2.1597123625892055e-05,2.3323674575551907,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,122489.51445656223,0.5076721720073598,True,False,False,True,False,0.000531645825183819,NONE,1692566739665.9175
3,山西,15958130.0,350200.0,663511099837.9441,0.772866243094144,0.0006411700755120038,663511099837.9441,0.09,0.09,0.02,20.0,350200.0,0.647623598114104,4597049.9688845305,-0.02496732273943252,0.02,3.22054995025825e-05,1.3660813077251024,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,48110.3905239026,0.7946209492260017,True,False,False,True,False,0.0006411700755120038,NONE,663511099837.9441
4,内蒙古,16140760.0,242200.0,892802329669.4608,0.772866243094144,0.0005606100998367917,892802329669.4608,0.09,0.09,0.02,20.0,242200.0,0.647623598114104,4496926.330784098,-0.024973424466956922,0.02,2.6191862010195765e-05,1.528211289573283,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,66177.73011039507,0.9416643811659808,True,False,False,True,False,0.0005606100998367917,NONE,892802329669.4608
5,辽宁,23510500.0,429100.0,1105264754694.1694,0.772866243094144,0.0006080357566442692,1105264754694.1694,0.09,0.09,0.02,20.0,429100.0,0.647623598114104,4487423.150537921,-0.024972553705813198,0.02,2.7050051708520854e-05,1.9580097821581877,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,82099.9452358542,0.7043115507736155,True,False,False,True,False,0.0006080357566442692,NONE,1105264754694.1694
6,吉林,11253810.0,248400.0,740712965919.6627,0.772866243094144,0.0004489797639331647,740712965919.6627,0.09,0.09,0.02,20.0,248400.0,0.647623598114104,4470836.859874487,-0.024977823365531643,0.02,2.1856470586156372e-05,1.0641887797324172,1.0641887797324172,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,55224.54907598369,0.9279993448212815,True,False,False,False,False,0.0004489797639331647,NONE,740712965919.6627
7,黑龙江,12846500.0,332700.0,654911264062.3204,0.772866243094144,0.0005274868982764897,654911264062.3204,0.09,0.09,0.02,20.0,332700.0,0.647623598114104,4418143.962002142,-0.024973278839785427,0.02,2.6335387286928928e-05,1.1472547128230868,1.1472547128230868,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,49409.76076028184,0.7993425509240843,True,False,False,False,False,0.0005274868982764897,NONE,654911264062.3204
8,上海,36011820.0,247539.0,492773836983.48627,0.772866243094144,0.001970216149288438,492773836983.48627,0.09,0.09,0.02,20.0,247539.0,0.647623598114104,4442235.9411315145,-0.024893401067352623,0.02,0.00010505996819823816,3.4250025183909516,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,36975.43436191792,0.9267101867522218,True,False,False,True,False,0.001970216149288438,NONE,492773836983.48627
9,江苏,92595400.0,844600.0,2690386204893.7324,0.772866243094144,0.0010324350826082535,2690386204893.7324,0.09,0.09,0.02,20.0,844600.0,0.647623598114104,4490403.245411582,-0.024961917091547176,0.02,3.753310409151023e-05,6.608777901336723,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,199712.79916574285,0.4615580549729106,True,False,False,True,False,0.0010324350826082535,NONE,2690386204893.7324
10,浙江,58002840.0,627300.0,1591617942417.3977,0.772866243094144,0.001038143964242912,1591617942417.3977,0.09,0.09,0.02,20.0,627300.0,0.647623598114104,4501542.137641846,-0.024956833153643436,0.02,4.254364552382846e-05,4.420685631358207,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,117856.25728814882,0.5645904338807888,True,False,False,True,False,0.001038143964242912,NONE,1591617942417.3977
11,安徽,34010900.0,607600.0,1357314108201.3684,0.772866243094144,0.0006934644495858679,1357314108201.3684,0.09,0.09,0.02,20.0,607600.0,0.647623598114104,4589731.278825722,-0.02496997113112164,0.02,2.959534151368577e-05,2.5721358283733027,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,98575.17052447716,0.5829310876093212,True,False,False,True,False,0.0006934644495858679,NONE,1357314108201.3684
12,福建,35804040.0,394100.0,1141016390611.534,0.772866243094144,0.0009211005515816159,1141016390611.534,0.09,0.09,0.02,20.0,394100.0,0.647623598114104,4484731.679844467,-0.024958727364295292,0.02,4.0676782107423606e-05,3.041441475411804,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,84806.5026479374,0.7373321917609794,True,False,False,True,False,0.0009211005515816159,NONE,1141016390611.534
13,江西,22717000.0,451300.0,1005097857179.3013,0.772866243094144,0.0006250709986865693,1005097857179.3013,0.09,0.09,0.02,20.0,451300.0,0.647623598114104,4595774.559519397,-0.024971012650281066,0.02,2.8568859135695967e-05,1.8362000759967394,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,72899.16361046587,0.6940518906637905,True,False,False,True,False,0.0006250709986865693,NONE,1005097857179.3013
14,山东,66648869.99999999,1007700.0,2791796128048.5977,0.772866243094144,0.0006937935055420465,2791796128048.5977,0.09,0.09,0.02,20.0,1007700.0,0.647623598114104,4555118.17011488,-0.02497453995100578,0.02,2.509248131334317e-05,4.519652554449441,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,204296.40029802968,0.4086752702161691,True,False,False,True,False,0.0006937935055420465,NONE,2791796128048.5977
15,河南,49935900.0,986400.0,2007934973521.9033,0.772866243094144,0.0006738778676648355,2007934973521.9033,0.09,0.09,0.02,20.0,986400.0,0.647623598114104,4606187.6795182405,-0.024973280978659775,0.02,2.633327801631331e-05,3.373574822771648,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,145306.09562105578,0.4191165810887849,True,False,False,True,False,0.0006738778676648355,NONE,2007934973521.9033
16,湖北,42021950.0,591700.0,1502025322195.634,0.772866243094144,0.0007970659999681263,1502025322195.634,0.09,0.09,0.02,20.0,591700.0,0.647623598114104,4561918.84198244,-0.02496631656974253,0.02,3.319714180012156e-05,3.2122387892038615,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,109750.01066564454,0.590296677656355,True,False,False,True,False,0.0007970659999681263,NONE,1502025322195.634
17,湖南,36425780.0,663500.0,1332351833795.125,0.772866243094144,0.0007385222456866581,1332351833795.125,0.09,0.09,0.02,20.0,663500.0,0.647623598114104,4583351.891931295,-0.024967895036831826,0.02,3.1641463215700807e-05,2.7031473617202555,1.3,True,64,3.5073277615538245e-11,True,11.400731651949162,0.647623598114104,7.274097868486394,4.6982774669466725,11.972375335433068,96896.9441501185,0.5511115725515159,True,False,False,True,False,0.0007385222456866581,NONE,1332351833795.125
